DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15,YR-TANGO QUADS RT HOT 60 THIEF Y-SIT (23),OUT A,RED BAM,OUT,A,,BAM,,
1,10,L,15,PARTY QUADS RT BUNCH 32 R-ZAP PACINO (12) ,BANDIT JET/HAM,HOLD,BANDIT,,JET/HAM,HOLD,,
1,10,M,15,STILL SPREAD RT BUNCH ZAX R-CASPER 2 Y-WRAP [X-GHOST GIVE] (5),OUT,SNIFF SAM MATCH,OUT,,,SNI S M,,
1,10,R,15,STILL SPREAD LT BUNCH ZAX R-CASPER 3 Y-WHAM X-GHOST (5),GAP,2FLIP,GAP,,,2FLIP,,
1,10,R,15,STILL SPREAD LT BUNCH ZAX R-CASPER POP 3 Y-WHAM X-GHOST W-OCEAN (43),BANDIT,TEFFLON,BANDIT,,,TEFF,,
1,10,L,15,STILL SPREAD RT BUNCH ZAX [R-CASPER GIVE] 2 Y-WHAM X-GHOST (6),GAP,RED BAM,GAP,,,BAM,,
1,10,L,15,STILL SPREAD RT BUNCH ZAX R-CASPER 2 Y-WHAM X-GHOST (5),IN,GRN MUG,IN,,,GRN,,MUG
1,10,M,15,PARTY QUADS RT BUNCH 32 R-ZAP PACINO (12) ,OUT A K,2FLIP,OUT,A,,2FLIP,,
1,10,R,15,PARTY QUADS LT BUNCH HOT 61 STICK W-SIT X-OUTLAW (26),BANDIT SAW,HOLD,BANDIT BANDIT,,SAW,HOLD,,
1,10,R,15,YR-TANGO QUADS LT HOT 61 THIEF Y-SIT (23),RS DE WEEP,BLACK MUG,RS D,WEEP,,BLK,,MUG
1,10,L,15,STILL SPREAD RT BUNCH ZAX [R-CASPER GIVE] 2 Y-WHAM X-GHOST (6),IN A ,RED BAM,IN,A,,BAM,,
1,10,L,15,STILL SPREAD RT BUNCH ZAX R-CASPER POP 2 Y-WHAM X-GHOST W-OCEAN (43),CB JET,HOLD,CB CB D,,JET,HOLD,,
1,10,M,15,STILL SPREAD RT BUNCH ZAX R-CASPER 2 Y-WHAM X-GHOST (5),BANDIT MILF,BLACK PEEL,BANDIT BANDIT,,MILF,BLK,,
1,10,R,15,PARTY QUADS LT BUNCH 23 R-ZAP PACINO (12) ,IN A ,RED BAM,IN,A,,BAM,,
1,10,R,15,STILL SPREAD LT BUNCH ZAX R-CASPER 3 Y-WHAM X-GHOST (5),GAP,2FLIP,GAP,,,2FLIP,,
1,10,L,15,PARTY QUADS RT BUNCH HOT 60 STICK W-SIT X-OUTLAW (26),GAP,SNIFF SAM MATCH,GAP,,,SNI S M,,
1,10,L,15,STILL SPREAD RT BUNCH ZAX [R-CASPER GIVE] 2 Y-WHAM X-GHOST (6),CB SWEEP,BLACK MUG,CB,SWEEP,,BLK,,MUG
1,10,M,15,STILL SPREAD RT BUNCH ZAX R-CASPER 2 Y-WRAP [X-GHOST GIVE] (5),GAP,RED BAM,GAP,,,BAM,,
