DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15B,WHIP HOLLOW RT STAR RAS HOT 50 R-RAM (53),GAP FULL,BLACK PL M,GAP GAP,,FULL,BLK,PL,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),OUT BANA,HOLD,OUT,BANANA,,HOLD,,
1,10,LM,15B,YR-WALTZ SP RT 3 R-ZAP SHIELD (14),HAMMER,HOLD,RS,,HAM,HOLD,,
1,10,R,15B,YR-SALSA SP LT RAY 60 CAPTAIN MOHAWK (86),TAR/NOSE,RED BAM,OUT,TAR/NOSE,,BAM,,
1,10,R,15B,Y-FLY SP RT 60 R-BIRCH Y-CROW Z-APACHE (102),GAP,SN S M,GAP,,,SN S M,,
1,10,L,15B,YX-SALSA RIP SP RT 7 BOOT Y-SLAM POGO R-OCEAN X-UNDER (46),D JET,HOLD,CB D,,JET,HOLD,,
1,10,L,15B,YR-WALTZ SP RT 2 W-WHAM (1),IN A,2FLIP,IN,A,,2FLIP,,
1,10,RM,15,R-FLY SP RT X-PILE 60 FLORIDA X-ZOOM (76),SAW,HOLD,BANDIT,,SAW,HOLD,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),WAR,HOLD,,,WAR,HOLD,,
1,10,R,15B,YR-SALSA SP LT 60 CADET Y-CROW IPOD,GAP,SN S M,GAP,,,SN S M,,
1,10,L,15B,YR-SALSA SP RT RAY 61 CAPTAIN MOHAWK (86),BANDIT,TEFFLON,BANDIT,,,TEFF,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),CB D R,BLACK M,CB D,RUN,,BLK,,
1,10,LM,15B,YX-SALSA RIP SP LT (X-CASPER GIVE) 6 Y-SPOOK (28),IN A,RED BAM,IN,A,,BAM,,
1,10,R,15B,YOYO WK SP LT WAR HOT 51 S-LIMBO X-RAM (52),WAR,HOLD,,,WAR,HOLD,,
1,10,R,15B,YX-SALSA RIP SP LT 6 BOOT Y-SLAM POGO R-OCEAN X-UNDER (46),FULL,BLACK PL M,GAP,,FULL,BLK,PL,
1,10,L,15B,Y-FLOAT R-DISCO QDS LT HOT 61 STICK WALL X-SIT (63),NS/QK,GRN OFF,,NS QK,,GRN,,OFF
1,10,L,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),HAMMER,HOLD,RS,,HAM,HOLD,,
1,10,LM,15B,YR-SALSA SP RT 61 CADET Y-CROW IPOD,GAP,SN S M,GAP,,,SN S M,,
1,10,RM,15B,YR-TANGO WHIP QDS LT R-CASPER 3 Y-WHAM (2),IN APPLE,HOLD,IN,APPLE,,HOLD,,
1,10,R,15B,WHIP HOLLOW LT STAR RAS HOT 51 R-LION (53),RS D R,BLACK M,RS D,RUN,,BLK,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),RAW,HOLD,CB D or RS D,,RAW,HOLD,,
1,10,L,15,SP RT RAY 32 ZIMBA DUPLEX R-RAMBO (21),OUT A,2FLIP,OUT,A,,2FLIP,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),D JET,HOLD,CB D,,JET,HOLD,,
1,10,LM,15B,SP RT RAY Y-TUFF FLEX 32 S-SPEEDO Y-ARC  (25),STRIKE,HOLD,,,STRIKE,HOLD,,
1,10,R,15B,SQUEEZE WK SP LT BUNCH HOT 60 OUTLAW Y-SIT (67),CB D SWEEP,BLACK O,CB D,SWEEP,,BLK,,
1,10,R,15,SP LT RAY 23 ZIMBA DUPLEX R-LIMBO (21),GAP,SN S M,GAP,,,SN S M,,
1,10,L,15B,YR-WALTZ SP RT 3 R-ZAP COLONEL Y-SILVER (15),HAMMER,HOLD,RS,,HAM,HOLD,,
1,10,L,15B,YR-SALSA SP RT RAY 61 CAPTAIN MOHAWK (86),IN A,2FLIP,IN,A,,2FLIP,,
1,10,L,15B,TRIAD SP LT 60 IPOD SW Y-CROW W-CADET (106),RAT/QK,RED BAM,CASH or OUT,RAT/QK,,BAM,,
