DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15B,YOYO SP RT RAX X-SPIRIT 2 X-SPEEDO (26),OVER,RED BAM,OVER,,,BAM,,
1,10,L,15,SP RT RAY 32 ZIMBA DUPLEX R-RAMBO (21),UND MOWI,BLACK PEEL,EVEN,,MOW,BLK,,
1,10,LM,15B,YR-WALTZ SP RT 3 R-ZAP SHIELD (14),JOK  ST JAC,HOLD,JK,,,HOLD,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),OVER DRIB,BLACK PEEL,OVER,,,BLK,,
1,10,R,15B,YX TANGO QUADS LT RAX 24 TRAIN Y-BOSS (34),RS D R,HOLD,RS D,RUN,,HOLD,,
1,10,L,15B,YX-SALSA RIP SP RT (X-CASPER GIVE) 7 Y-SPOOK (28),UNDER MOWI,BLACK PEEL,UNDER EVEN,,MOW,BLK,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),OVER,2 FLIP,OVER,,,2FLIP,,
1,10,RM,15B,YR-WALTZ SP LT 2 R-ZAP COLONEL Y-SILVER (15),JOK WK,RED BAM,JK WK,,,BAM,,
1,10,R,15B,YR-WALTZ SP LT 3 W-WHAM (1),RS D NATTY,HOLD,RS D,NATTY,,HOLD,,
1,10,R,15B,YOYO SP LT RAX X-SPIRIT 3 X-SPEEDO (26),50 W W,HOLD,50 W,,,HOLD,,
1,10,L,15B,YOYO SP RT RAX 15 TRAIN X-BASH S-SHARK (35),RS D HAMMER,HOLD,RS D RS,,HAM,HOLD,,
1,10,L,15B,YOYO SP RT RAX (X-CASPER GIVE) 8 Y-TEX S-LOAD (38),UNDER,2 FLIP,UNDER,,,2FLIP,,
1,10,LM,15B,STILL QUADS RT BUNCH RAX 15 TRAIN S-ROSE (36),OUT A,RED CHECK,OUT,A,,RED,,
