DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
1,10,L,15B,YR-TANGO WHIP QDS RT R-CASPER 2 Y-WHAM (2),CB R ,HOLD,CB,RUN,,HOLD,,
1,10,L,15B,YX-SALSA RIP SP RT (X-CASPER GIVE) 7 Y-SPOOK (28),EVEN CAR,HOLD,EVEN,,,HOLD,,
1,10,LM,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),GAP,2FLIP,GAP,,,2FLIP,,
1,10,R,15B,YR-TANGO WHIP QDS LT (R-CASPER GIVE) 3 Y-WRAP (3),CB D SWEEP,BLACK M,CB D,SWEEP,,BLK,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),OUT A/K,RED BAM,OUT,A/K,,BAM,,
1,10,L,15B,YR-TANGO WHIP QDS RT R-CASPER 2 Y-WHAM (2),IN APPLE,BLACK M,IN,APPLE,,BLK,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),IN A,RED,IN,A,,RED,,
1,10,RM,15B,YR-TANGO WHIP QDS LT (R-CASPER GIVE) 3 Y-WRAP (3),RS D R,BOLD,RS D,RUN,,,,
1,10,R,15B,YX-SALSA RIP SP LT 6 Y-BOSS (27),RS WEEP,BLACK O,RS,WEEP,,BLK,,
1,10,R,15B,YX-SALSA RIP SP LT (X-CASPER GIVE) 6 Y-SPOOK (28),GAP,SN S M,GAP,,,SN S M,,
1,10,L,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),OUT A,RED,OUT,A,,RED,,
1,10,L,15B,YR-TANGO WHIP QDS RT R-CASPER 2 Y-WHAM (2),OUT BANA,HOLD,OUT,BANANA,,HOLD,,
1,10,LM,15B,YX-SALSA RIP SP RT 7 Y-BOSS (27),IN,RED,IN,,,RED,,
