DN,DIST,Hash,PERSONNEL,OFF PLAY,FRONT,COV,Def Front,stunt,Blitz,Coverage,Peel,CV TYPE
2,8,L,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),GAP,BANJO,GAP,,,BANJO,,
1,10,L,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),BANDIT,TEFFLON,BANDIT,,,TEFF,,
2,7,LM,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,YEL SW,BANDIT,,,YEL SW,,
2,10,R,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),IN,HALO,IN,,,HALO,,
1,10,R,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,RED SNAKE,IN,A,,RED SNAKE,,
2,8,L,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),BANDIT,DEUCES,BANDIT,,,DEUCES,,
2,7,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,BINGO,BANDIT,,,BINGO,,
2,10,RM,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),BANDIT,HALO CUT,BANDIT,,,HALO CUT,,
1,10,R,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,RED CHECK,IN,A,,RED,,
2,8,R,15B,Y-FLY SP RT X-PILE 60 CHEROKEE HARPOON (96),GAP,TUFF,GAP,,,TUFF,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,TOONIE,BANDIT,,,TOONIE,,
2,7,L,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),GAP,BANJO,GAP,,,BANJO,,
1,10,LM,15B,Y-FLY R-SHAVE SP RT 60 SHIRLEY X-SPACING (92),IN A ,SNIFF SAM MATCH,IN,A,,SNI S M,,
2,8,R,15B,Y-FLY SP RT X-PILE 60 BRAVES BENCH (97),OUT A/K,ROT SW,OUT,A/K,,ROT SW,,
2,8,R,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),BANDIT,2 FLIP,BANDIT,,,2FLIP,,
2,10,L,15B,Y-FLY WK SP RT WAR 61 HALIFAX (121),BANDIT,PIPES,BANDIT,,,PIPES,,
1,10,L,15B,YR-TANGO QUADS RT 75 STAY X-STEM R-CROW IPOD (91),IN A ,DEUCES,IN,A,,DEUCES,,
2,7,RM,15B,YR-WALTZ SP RT WHIP 75 STAY COUCH W-CROW Z-APACHE (101),JOKER,CAT,JK,,,CAT,,
