PLAY #,EVENT,SCORE,CLOCK,QTR,HASH,YARD LN,FIELD ZONE,DN,DIST,SITUATION (O),SITUATION (AFTER),PLAY TYPE,RESULT,GN/LS,REDMEN OFF PLAY,OFF PLAY,OPRS,BACKFIELD,REC ALIGNMENT,MOTION,ARRIVE AT MESH,CONCEPT,PLAY FAMILY,PROTECTION,DPRS,DEF FRONT,FRONT TYPE,SHOW,STUNT,DOG,BLITZ,NBR,PRESSURE PATTERN,PSL - MOF,COVERAGE,COVERAGE ADJUST,QUICK,NED,NOSE,TEX,RUSH,END,WILL,OSCAR,MIKE,STAR,ODK
17,LVL-OFF -- MTL-DEF,LVL-00 VS MTL-13,11:47,2,L,-35,OF,1,10,P+10,AFTER FG,Run,Rush,2,8 TOSS CRACK,,RAN,GS,22,FLOAT,,UTILITY,8/9 TEX,,40 BASE,41 EVEN,EVEN,,NQT,,,4,4 DOWN -- 4R,FLAT TOP,4,,MTL-98,MTL-89,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
18,LVL-OFF -- MTL-DEF,LVL-00 VS MTL-13,11:17,2,R,-37,OF,2,8,2+LONG,AFTER RUN,Pass,Incomplete,0,,FLOOD,RAN,GW,41,,,DROPBACK,,SCAT 50/51,40 BASE,41 EVEN,EVEN,,TR,,,4,4 DOWN -- 4R,SINGLE,11,HBR,MTL-93,MTL-89,,MTL-98,MTL-94,,MTL-19,,MTL-02,MTL-05,D
19,LVL-OFF -- MTL-DEF,LVL-00 VS MTL-13,09:28,2,L,48,OF,1,10,P+10,AFTER TURNOVER,Pass,Incomplete,0,,POP PONY,RAN,P,23,FLOAT,,IZ,,POP 2/3 BOSS,40 BASE,41 EVEN,EVEN,,TN,,,4,4 DOWN -- 4R,FLAT TOP,DHINV,,MTL-97,MTL-89,,MTL-91,MTL-93,,MTL-19,,MTL-02,MTL-05,D
20,LVL-OFF -- MTL-DEF,LVL-00 VS MTL-13,09:00,2,L,48,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Incomplete,0,,BLADE,RAN,GW,31,,,DROPBACK,,74/75,40 BASE,41 EVEN,EVEN,,TR+NQ,,,4,4 DOWN -- 4R,FLAT TOP,2 MAN,,MTL-97,MTL-89,,MTL-91,MTL-93,,MTL-19,,MTL-02,MTL-05,D
21,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,07:42,2,L,-35,OF,1,10,P+10,AFTER SAFETY,Run,Rush,-1,7 BOSS,,RAN,P,32,,,OZ,6/7 BOSS,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,4 DBL LOCK,,MTL-97,MTL-91,,MTL-54,MTL-93,,MTL-19,,MTL-02,MTL-05,D
22,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,07:05,2,L,-34,OF,2,11,2+VERY LONG,AFTER RUN,Pass,Complete,11,,BOB,RAN,GW,23,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,M-MUG,,,,4,4 DOWN -- 4R,FLAT TOP,3DC,,MTL-97,MTL-91,,MTL-54,MTL-93,,MTL-19,,MTL-02,MTL-05,D
23,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,06:25,2,L,-45,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,11,8 CASPER GIVE,8 CASPER GIVE,RAN,P,32,,CASPER,OZ,6/7 SPOOK,,40 BASE,41 EVEN,EVEN,,NT,,,4,4 DOWN -- 4R,FLAT TOP,4 POACH,,MTL-97,MTL-91,,MTL-54,MTL-93,,MTL-19,,MTL-02,MTL-05,D
24,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,05:54,2,R,54,OF,1,10,,,,Timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
25,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,05:54,2,R,54,OF,1,10,C+10,AFTER RUN,Pass,Complete,12,,LION,RAN,GS,41,FLOAT,,IZ,2/3 ZAP,,40 BASE,41 OVER G,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,3X,ROTATE,MTL-98,MTL-89,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
26,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,05:30,2,L,42,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,13,,OUTSIDE FLOOD,RAN,P,41,,,IZ,,POP 2/3 BOSS,40 BASE,42 EVEN,EVEN,,TRN,,,4,4 DOWN -- 4R,SINGLE,3,+,MTL-98,MTL-89,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
27,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,05:15,2,R,29,FZ,1,10,C+10,AFTER COMPLETE PASS,Pass,Penalty,14,,ZAP,RAN,P,32,,,IZ,2/3 ZAP,,40 BASE,41 OUT,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,4 POACH,,MTL-98,MTL-89,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
28,LVL-OFF -- MTL-DEF,LVL-02 VS MTL 13,05:00,2,R,15,GZ,1,10,C+10,AFTER PENALTY,Pass,"Complete, TD",15,,CORNER,RAN,GW,22,,,DROPBACK,,74/75,40 BASE,41 EVEN,EVEN,,ATT/KN,SB,,5,4 DOWN -- 5M,SINGLE,0,,MTL-54,MTL-97,,MTL-91,MTL-93,,MTL-19,,MTL-02,MTL-05,D
29,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,02:21,2,R,-45,OF,1,10,P+10,AFTER PUNT,Run,Rush,-2,6 BOSS,6 BOSS,RAN,P,41,,,OZ,6/7 BOSS,,40 BASE,41 EVEN,EVEN,,NT,,,4,4 DOWN -- 4R,TWIX,3,ROTATE,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
30,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,02:00,2,R,-43,OF,2,12,2+VERY LONG,AFTER RUN,Pass,Scramble,10,,HORIZONTAL STRETCH,RAN,GS,32,,,DROPBACK,,60/61,40 BASE,41 OUT,EVEN,,KN,,,4,4 DOWN -- 4R,SINGLE,3CW,,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
31,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,00:35,2,R,38,OF,1,10,P+10,AFTER TURNOVER,Run,Rush,6,,,REB,P,14,,,IZ,2/3 ZAP,,40 BASE,42 OVER G,EVEN,BUMP,,,,4,4 DOWN -- 4R,TWIX,MATCH,,MTL-94,MTL-97,,MTL-89,MTL-93,,MTL-19,,MTL-02,MTL-05,D
32,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,00:29,2,R,32,FZ,2,4,2+MEDIUM,AFTER RUN,Pass,Scramble,3,,QUICK,REB,P,41,,,DROPBACK,,HOT 60/61,40 BASE,42 OVER G,EVEN,,NQ,,,4,4 DOWN -- 4R,TWIX,3X,ROTATE,MTL-94,MTL-97,,MTL-89,MTL-93,,MTL-19,,MTL-02,MTL-05,D
33,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,00:19,2,R,29,FZ,3,1,3+SHORT,AFTER QB SCRAMBLE,Run,Rush,4,,SNEAK,BIG,P,22,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,,,,,8,5 DOWN -- 8MO,ZERO,0,,MTL-94,MTL-97,MTL-95,MTL-89,MTL-93,,MTL-19,,MTL-02,MTL-05,D
34,LVL-OFF -- MTL-DEF,LVL-09 VS MTL 13,00:09,2,R,25,FZ,1,10,C+10,AFTER QB SNEAK,Pass,Complete,-4,,APACHE,REB,P,41,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,SINGLE,3X,HBR,MTL-94,MTL-97,,MTL-89,MTL-93,,MTL-19,,MTL-02,MTL-05,D
35,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,14:50,3,R,-30,OF,1,10,P+10,AFTER KO - HALF,Pass,Complete,5,,ZAP,RAN,P,23,,,IZ,2/3 ZAP,,40 BASE,41 EVEN,EVEN,,TRN,,,4,4 DOWN -- 4R,FLAT TOP,4,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
36,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,14:20,3,L,-35,OF,2,5,2+MEDIUM,AFTER COMPLETE PASS,Pass,Incomplete,0,,FENCE,RAN,P,32,,,DROPBACK,,60/61,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,SINGLE,11,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
37,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,12:16,3,R,53,OF,1,10,P+10,AFTER PUNT,Run,Rush,-3,7 BOSS,7 BOSS,RAN,P,32,,,OZ,6/7 BOSS,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,0,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
38,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,11:40,3,L,-54,OF,2,13,2+VERY LONG,AFTER RUN,Pass,Complete,11,,LIGHT,REB,GS,41,,,SCREEN,RAIN/LIGHT,,40 BASE,41 OUT,EVEN,STING,,SCW3,,4,4 DOWN -- 4O (DROPS),FLAT TOP,4,ROTATE,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
39,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,09:31,3,R,42,OF,1,10,P+10,AFTER PUNT,Pass,Complete,12,,CORNER,BIG,P,22,,,DROPBACK,,74/75,40 BASE,43 EVEN,EVEN,,,,,4,4 DOWN -- 4R,SINGLE,3,,MTL-98,MTL-91,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
40,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,09:05,3,R,30,FZ,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,6,,ZAP,RAN,P,41,,,IZ,2/3 ZAP,,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,,0MID,ROTATE,MTL-98,MTL-91,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
41,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,08:40,3,R,24,GZ,2,4,2+MEDIUM,AFTER COMPLETE PASS,Pass,Complete,9,,QUICK,RAN,P,41,,,DROPBACK,,HOT 60/61,40 BASE,42 GIANTS,EVEN,,NQ,,,4,4 DOWN -- 4R,SINGLE,11,HBR,MTL-98,MTL-91,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
42,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,08:10,3,L,15,GZ,1,10,C+10,AFTER COMPLETE PASS,Run,Rush,6,9 CASPER GIVE,9 CASPER GIVE,RAN,P,32,,CASPER,OZ,6/7 SPOOK,,40 BASE,41 EVEN,EVEN,,,MAW1,,6,4 DOWN -- 6M,FLAT TOP,0,,MTL-54,MTL-89,,MTL-95,MTL-93,,MTL-19,,MTL-02,MTL-05,D
43,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,07:47,3,L,9,GZ,2,4,,,,Timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
44,LVL-OFF -- MTL-DEF,LVL-12 VS MTL-13,07:47,3,L,9,GZ,2,4,2+MEDIUM,AFTER RUN,Pass,Sack,-3,,DOUBLE MOVE,RAN,GW,22,,,DROPBACK,,60/61,40 BASE,43 EVEN,EVEN,,,,,4,4 DOWN -- 4R,SINGLE,3,,MTL-54,MTL-89,,MTL-95,MTL-93,,MTL-19,,MTL-02,MTL-05,D
45,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,01:44,3,L,-35,OF,1,10,P+10,AFTER ROUGE,Pass,Incomplete,0,,OUTSIDE FLOOD,RAN,GS,23,,,DROPBACK,,RED/BLUE,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,4 POACH,,MTL-97,MTL-89,,MTL-98,MTL-94,,MTL-19,,MTL-02,MTL-05,D
46,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,01:30,3,L,-35,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Complete,13,,PACINO,RAN,P,32,,,DROPBACK,,74/75,40 BASE,41 OUT,EVEN,,TR+NQ,MCW3,,6,4 DOWN -- 6O,SINGLE,1,,MTL-97,MTL-89,,MTL-98,MTL-94,,MTL-19,,MTL-02,MTL-05,D
47,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,01:15,3,L,-48,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Incomplete,0,,OUTSIDE FLOOD,RAN,P,3T2,,,OZ,,6/7 BOOT,40 BASE,43 OUT,EVEN,M-MUG W-MUG,,MAW1,,6,4 DOWN -- 6M,SINGLE,0,,MTL-97,MTL-89,,MTL-98,MTL-94,,MTL-19,,MTL-02,MTL-05,D
48,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,01:00,3,L,-48,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Complete,9,,QUICK,RAN,GW,32,,,DROPBACK,,HOT 60/61,40 BASE,41 EVEN,EVEN,STING,BULLY,SCMA,,6,4 DOWN -- 6MF,FLAT TOP,0,,MTL-54,MTL-95,,MTL-91,MTL-93,,MTL-19,,MTL-02,MTL-05,D
49,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,00:45,3,L,53,OF,3,1,3+SHORT,AFTER COMPLETE PASS,Run,Rush,2,,SNEAK,BIG,P,,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,,,,,7,4 DOWN -- 7MO,ZERO,0,,MTL-54,MTL-95,,MTL-91,MTL-94,,MTL-19,,MTL-02,MTL-05,D
50,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,00:30,3,M,51,OF,1,10,C+10,AFTER QB SNEAK,Pass,Penalty,15,,VERTICALS,RAN,P,32,,,DROPBACK,,60/61,40 BASE,42 GIANTS,EVEN,,,,,4,5 DOWN -- 5R,SINGLE,11,,MTL-97,MTL-91,,MTL-95,MTL-94,,MTL-19,,MTL-02,MTL-05,D
51,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,00:15,3,M,36,OF,1,10,C+10,AFTER PENALTY,Run,Rush,6,6 BOSS,6 BOSS,BIG,P,13,FLOAT,,OZ,6/7 WHAM,,40 BASE,43 EVEN,EVEN,,TN,,,4,4 DOWN -- 4R,SINGLE,0,,MTL-97,MTL-89,,MTL-98,MTL-94,,MTL-19,,MTL-02,MTL-05,D
52,LVL-OFF -- MTL-DEF,LVL-15 VS MTL-14,15:00,4,R,30,FZ,2,4,2+MEDIUM,AFTER RUN,Run,Rush,3,,ZAP ROCKER,RAN,P,32,,,IZ,2/3 ZAP,,40 BASE,42 GIANTS,EVEN,,,,,4,5 DOWN -- 5R,SINGLE,10,,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
53,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-17,08:51,4,R,-35,OF,1,10,P+10,AFTER FG,Pass,Scramble,3,,STICK,RAN,P,41 BUN,,,DROPBACK,,74/75,40 BASE,41 EVEN,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,4WK X,ROTATE,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
54,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-17,08:20,4,R,-38,OF,2,7,2+LONG,AFTER QB SCRAMBLE,Pass,Incomplete,0,,QUICK,RAN,P,41 BUN,,,DROPBACK,,HOT 60/61,40 BASE,42 GIANTS,EVEN,,ATT/KN,,,4,4 DOWN -- 4R,SINGLE,11,HBR,MTL-97,MTL-98,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
55,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,05:36,4,R,-35,OF,1,10,P+10,AFTER PUNT,Pass,Incomplete,0,,APACHE,RAN,GW,32,,,DROPBACK,,SCAT 50/51,40 BASE,41 OVER G,EVEN,,,,,4,4 DOWN -- 4R,SINGLE,11,,MTL-98,MTL-97,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
56,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,05:06,4,R,-35,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,Scramble,3,,BOB,RAN,GW,23,,,DROPBACK,,60/61,40 BASE,42 GIANTS,EVEN,,,,,4,5 DOWN -- 5R,SINGLE,11,,MTL-98,MTL-97,,MTL-89,MTL-94,,MTL-19,,MTL-02,MTL-05,D
57,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,04:00,4,L,49,OF,1,10,C+10,AFTER FAKE PUNT,Run,Rush,1,,6 WHAM,BIG,P,31,,,OZ,6/7 WHAM,,40 BASE,43 OUT,EVEN,,,,,4,4 DOWN -- 4R,FLAT TOP,0,,MTL-94,MTL-98,,MTL-97,MTL-54,,MTL-19,,MTL-02,MTL-05,D
58,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,03:30,4,M,48,OF,2,9,2+LONG,AFTER RUN,Pass,Complete,0,,LASER,REB,GS,23,,,SCREEN,,,40 BASE,43 EVEN,EVEN,,TR+NQ,MCW3,,6,4 DOWN -- 6O,SINGLE,0,,MTL-93,MTL-98,,MTL-97,MTL-97,,MTL-19,,MTL-02,MTL-05,D
59,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,01:44,4,R,-45,OF,1,10,P+10,AFTER PUNT,Pass,Complete,3,,RAM,REB,GW,32,,,DROPBACK,,60/61,40 BASE,42 GIANTS,EVEN,,,,,4,5 DOWN -- 5R,SINGLE,11,,MTL-98,MTL-89,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
60,LVL-OFF -- MTL-DEF,LVL-18 VS MTL-18,01:24,4,R,-48,OF,2,7,2+LONG,AFTER COMPLETE PASS,Pass,Complete,5,,QUICK,REB,GW,32,,,DROPBACK,,60/61,40 BASE,41 OUT,EVEN,STING,KN,SCW3,,5,4 DOWN -- 5M (DROPS),FLAT TOP,4,,MTL-93,MTL-98,,MTL-97,MTL-94,,MTL-19,,MTL-02,MTL-05,D
1,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-00,14:50,1,L,-28,OF,1,10,P+10,AFTER KO - GAME,Pass,Incomplete,0,,VERTICALS,REB,GW,41T,AXE,,DROPBACK,,76/77,30 BASE,33 STACK,ODD,,,,,3,3 DOWN -- 3R,,4,HBR,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
2,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-00,14:37,1,L,-28,OF,2,10,2+LONG,AFTER INCOMPLETE PASS,Pass,"Interception, Def TD",-28,,PACINO,REB,GS,32,,,DROPBACK,,60/61,30 BASE,33 DBL FLEX,ODD,,STRIP,MAWB,,5,3 DOWN -- 5M,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-02,MTL-19,MTL-52,MTL-05,D
3,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-07,13:59,1,R,-38,OF,1,10,P+10,AFTER KO - TD,Pass,Complete,9,,PAP GY COUNTER,RAN,GS,22,,,GAP,4/5 TRACTOR,,30 BASE,33 STACK,ODD,,,,,3,3 DOWN -- 3R,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
4,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-07,13:47,1,L,-47,OF,2,1,2+SHORT,AFTER COMPLETE PASS,Run,Rush,2,,QB SNEAK,RAN,,,,,SNEAK,QB SNEAK,,40 BASE,GAPS,EVEN,,,,,6,3 DOWN -- 6MO,,0,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
5,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-07,12:53,1,L,-50,OF,1,10,C+10,AFTER QB SNEAK,Run,Rush,3,,1-BACK POWER,BIG,P,2T2,,,GAP,4/5 HYDRO,,30 BASE,33 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
6,SHE-OFF -- MTL-DEF,SHE-00 VS MTL-07,12:12,1,R,-53,OF,2,7,2+LONG,AFTER RUN,Pass,"Complete, TD",57,,OUTSIDE FLOOD,RAN,GS,41 BUN,,,SPRINT,,RED/BLUE,30 BASE,34,ODD,,NOQ,O2W3,,5,3 DOWN -- 5MB,,3,ROTATE,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
7,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,08:58,1,R,-39,OF,1,10,P+10,AFTER PUNT,Pass,Complete,11,,ZONE READ,REB,P,32 BUN,,,IZ,2/3 ZAP,,30 BASE,34,ODD,,,OB,,4,3 DOWN -- 4M,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
8,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,08:20,1,L,-50,OF,1,10,C+10,AFTER COMPLETE PASS,Pass,Complete,7,,QUICK,RAN,GW,32T,,,DROPBACK,,HOT 60/61,30 BASE,33 OKIE STACK,ODD,,,,,3,3 DOWN -- 3R,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
9,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,07:59,1,L,53,OF,2,3,2+MEDIUM,AFTER COMPLETE PASS,,Penalty,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
10,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,07:37,1,L,-52,OF,2,8,2+LONG,AFTER PENALTY,Pass,Complete,8,,8 CASPER GIVE,REB,GS,41,FLY,,OZ,6/7 SPOOK,,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,HBR,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
11,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,07:26,1,R,50,OF,1,10,C+10,AFTER COMPLETE PASS,Run,Penalty,-10,,ZIMBA,REB,P,32,,,IZ,2/3 ZAP,,30 BASE,34 OKIE,ODD,,,,,3,3 DOWN -- 3R,,3CW,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
12,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,07:04,1,R,-50,OF,1,20,1+VERY LONG,AFTER PENALTY,Pass,Complete,12,,OUTSIDE FLOOD,REB,GS,32,,,SPRINT,,RED/BLUE,30 BASE,34,ODD,,,SCMA,,5,3 DOWN -- 5MF,,3,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
13,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,06:41,1,L,48,OF,2,8,2+LONG,AFTER COMPLETE PASS,Pass,Scramble,6,,,REB,GW,32,,,DROPBACK,,60/61,30 BASE,33 DBL FLEX,ODD,,,MBW2,,5,3 DOWN -- 5M,,11,,MTL-98,,MTL-97,,,MTL-94,MTL-02,MTL-19,MTL-52,MTL-05,D
14,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,04:22,1,R,-43,OF,1,10,P+10,AFTER PUNT,Run,Rush,-8,,PERIMETER 2 PULLERS,RAN,GW,41 BUN,,,GAP,8/9 AGGIE,,30 BASE,34,ODD,,ST BNG,SCMA,,5,3 DOWN -- 5MF,,3,ROTATE,MTL-54,,MTL-89,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
15,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,03:39,1,L,-35,OF,2,18,2+VERY LONG,AFTER RUN,Pass,Complete,12,,,RAN,GS,41 BUN,,,SPRINT,,RED/BLUE,30 BASE,33 DBL FLEX,ODD,,WHIP,W1M2,,5,3 DOWN -- 5M,,3,ROTATE,MTL-94,,MTL-89,,,MTL-93,MTL-02,MTL-19,MTL-52,MTL-05,D
16,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,01:08,1,R,40,OF,1,10,P+10,AFTER PUNT,Pass,Complete,33,,CORNER,BIG,GS,31T,,,DROPBACK,,74/75,30 BASE,33 STACK,ODD,,,,,3,3 DOWN -- 3R,,3DC,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
17,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,00:38,1,R,7,GZ,1,7,C+GOAL,AFTER EXPL. PASS,Pass,Incomplete,0,,HIGH LOW,REB,GW,32 BUN,,,DROPBACK,,60/61,30 BASE,33 STACK,ODD,M-JET W-JET,DBL BNG,MCW3,,5,3 DOWN -- 5O,,0,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
18,SHE-OFF -- MTL-DEF,SHE-07 VS MTL-07,00:20,1,R,7,GZ,2,7,2+GOAL,AFTER INCOMPLETE PASS,Pass,Incomplete,0,,X-FADE,RAN,GW,22,,,DROPBACK,,74/75,30 BASE,34,ODD,,,SBW2,,5,3 DOWN -- 5M,,0,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
19,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-14,12:57,2,R,-33,OF,1,10,P+10,AFTER KO - TD,Run,Penalty,-7,,QB COUNTER,RAN,GW,32 BUN,,,GAP,4/5 TRAIN,,30 BASE,34,ODD,,,,,3,3 DOWN -- 3R,,3CW,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
20,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-14,12:05,2,R,-26,OF,2,17,2+VERY LONG,AFTER PENALTY,Pass,Incomplete,0,,QUICK,REB,GW,32,,,DROPBACK,,HOT 60/61,30 BASE,34,ODD,STING,BULLY,SCMAO1W3,,7,3 DOWN -- 7MO,,0,,MTL-98,,MTL-97,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
21,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,06:58,2,L,-35,OF,1,10,P+10,AFTER ROUGE,Run,Rush,2,,INSERT,RAN,GS,22,AXE,,IZ,2/3 STAB,,30 BASE,34,ODD,,NQM,M3,,4,3 DOWN -- 4B,,3DC,,MTL-97,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
22,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,06:25,2,L,-37,OF,2,8,2+LONG,AFTER RUN,Pass,Complete,6,,COLONEL,REB,GS,32,,,SPRINT,,RED/BLUE,30 BASE,34,ODD,O-JET,DBL BNG,MCW3,,5,3 DOWN -- 5O,,11,,MTL-97,,MTL-95,,,MTL-93,MTL-19,MTL-02,MTL-52,MTL-05,D
23,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,04:12,2,R,-31,OF,1,10,P+10,AFTER PUNT,,Penalty,-5,,,BIG,P,2T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,D
24,SHE-OFF -- MTL-DEF,SHE-10 VS MTL-15,03:49,2,R,-26,OF,1,15,1+VERY LONG,AFTER PENALTY,Run,Rush,5,,,BIG,P,2T2,,,IZ,2/3 WHAM,,30 BASE,34,ODD,,NQM,M3,,4,3 DOWN -- 4B,,3DC,,MTL-97,,MTL-98,,,MTL-94,MTL-19,MTL-02,MTL-52,MTL-05,D
